59.92,-0.33,1.25,60.02,-1.53,1.31,1.2056533498,1.7,1.1675,6.55,0.82
59.63,-0.97,1.58,59.65,-1.05,0.84,0.7445804188,0.71,0.7073,3.25,0.72
59.63,-0.96,1.71,59.65,-1.06,0.71,1.0051865499,0.97,0.9523,4.53,1.05
59.62,-0.93,1.99,59.66,-1.09,0.43,1.5686937241,1.49,1.4805,5.41,1.17
59.61,-0.91,2.25,59.67,-1.11,0.17,2.090454496,1.99,1.9666,7.05,0.53
59.61,-0.9,2.29,59.67,-1.12,0.13,2.1720036832,2.07,2.0434,7.05,0.43
59.55,-0.85,1.3,59.55,-1.39,0.84,0.709365914,0.89,0.6929,4.01,1.08
59.55,-0.75,1.38,59.55,-1.49,0.76,0.9654014709,1.2,0.9427,5.25,1.26
59.55,-0.66,1.46,59.55,-1.58,0.68,1.2061509027,1.5,1.1773,6.28,0.98
59.55,-0.57,1.53,59.56,-1.67,0.61,1.4340502083,1.78,1.3991,7.05,0.54
59.52,-1.27,1.59,59.52,-0.69,0.91,0.8937561189,1.02,0.8189,3.83,1.02
59.52,-1.36,1.7,59.52,-0.6,0.8,1.1779643458,1.34,1.073,4.59,1.26
59.52,-1.43,1.79,59.52,-0.53,0.71,1.4058449417,1.59,1.2745,5.41,1.2
59.16,-0.43,0.93,58.82,-0.63,0.69,0.4617358552,0.48,0.4581,3.25,0.54
59.31,-0.35,1.05,58.67,-0.71,0.57,0.877268488,0.91,0.8693,4.48,1.19
59.38,-0.31,1.1,58.6,-0.75,0.52,1.0669582935,1.11,1.0571,4.9,1.26
59.43,-0.28,1.13,58.55,-0.78,0.49,1.1974973904,1.24,1.1865,5.41,1.16
59.46,-0.26,1.16,58.52,-0.8,0.46,1.2904262862,1.34,1.2781,6.08,1.05
59.49,-0.24,1.18,58.49,-0.82,0.44,1.3725887949,1.42,1.3594,6.75,0.91
59.29,-0.58,1.08,58.89,-0.32,0.72,0.5976621119,0.62,0.5809,2.95,0.75
59.35,-0.61,1.12,58.83,-0.29,0.68,0.7525955089,0.77,0.7319,4.23,1.02
59.53,-0.73,1.28,58.65,-0.17,0.52,1.2905812644,1.34,1.2493,6.41,1.07
